施打站縣市,施打站全稱,施打站行政區,施打站地址,預約電話
台南市,衛生福利部新營醫院,新營區,73042臺南市新營區信義街73號,06-6328832
台南市,奇美醫療財團法人佳里奇美醫院,佳里區,72263臺南市佳里區佳興里佳里興606號,06-7263333
台南市,奇美醫療財團法人奇美醫院,永康區,71004臺南市永康區中華路901號,06-2812811
台南市,臺南市立安南醫院-委託中國醫藥大學興建經營,安南區,709臺南市安南區州南里12鄰長和路二段66號,06-3553111
台南市,國立成功大學醫學院附設醫院,北區,704臺南市北區勝利路138號,06-2353535
台南市,台南市立醫院(委託秀傳醫療社團法人經營),東區,701臺南市東區崇德路670號,06-2609926
台南市,郭綜合醫院,中西區,70054臺南市中西區民生路二段22號,06-2221111
台南市,新興醫療社團法人新興醫院,新營區,台南市新營區中興路10號,6330011#308
台南市,營新醫院,新營區,台南市新營區隋唐街228號,6592345#832
台南市,吉安醫療社團法人吉安醫院,關廟區,台南市關廟區中正路435號 ,6025115
台南市,璟馨婦幼醫院,永康區,台南市永康區東橋七路198號,3023366
台南市,晉生醫療社團法人晉生慢性醫院,永康區,台南市永康區中山南路902巷7號,06-2330003#12
台南市,仁愛醫療社團法人仁愛醫院,東區,台南市東區北門路一段10號,2213111
台南市,陳澤彥婦產科醫院,北區,台南市北區中華北路二段101號 ,3505000
台南市,志誠醫院,北區,台南市北區公園路315-1號,2210423
台南市,大安婦幼醫院,中西區,台南市中西區金華路三段167號,2278899#889
台南市,永和醫院,中西區,台南市中西區府前路一段304巷2號,06-2231191
台南市,新生醫院,佳里區,台南市佳里區新生路272號,7223122
台南市,永川醫院,中西區,台南市中西區成功路169號,2234055
台南市,奇美醫療財團法人柳營奇美醫院,柳營區,73657臺南市柳營區太康里太康201號,06-6226999
台南市,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,麻豆區,72152臺南市麻豆區埤頭里苓子林20號專責醫院6,06-5702228
台南市,COVID-19疫苗門診1網路台灣基督長老教會新樓醫療財團法人台南新樓醫院,06-5702228,70142臺南市東區東門路一段57號永康區高雄榮民總醫院臺南分院71051臺南市永康區復興路427號,06-2748316
台南市,專責醫院10東區衛生福利部臺南醫院,中西區,700臺南市中西區中山路125號,06-2200055
台南市,衛生福利部臺南醫院,東區,700臺南市中西區中山路125號,06-2200055
